date,bank_ret,vix_level,vix_change,vix_today,gs_ret,c_ret,jpm_ret,v_ret
2025-02-11,0.001866,15.81,0.21,16.02,-0.001798,0.001066,0.002713,0.005481
2025-02-12,-0.001397,16.02,-0.13,15.89,-0.003503,0.001616,-0.002696,-0.001006
2025-02-13,-0.001411,15.89,-0.79,15.10,-0.002435,-0.000538,0.000724,-0.003393
2025-02-14,-0.001266,15.10,-0.33,14.77,-0.002784,-0.002954,-0.003704,0.004378
2025-02-18,0.001359,15.37,-0.02,15.35,-0.000417,0.001359,0.001775,0.002720
2025-02-19,0.000454,15.35,-0.08,15.27,-0.000824,-0.000193,0.002472,0.000359
2025-02-20,-0.000976,15.27,0.39,15.66,-0.000697,-0.000507,0.000203,-0.002904
2025-02-21,0.000660,15.66,2.55,18.21,0.002650,0.000342,-0.001794,0.001441
2025-02-24,0.000509,18.21,0.77,18.98,-0.004848,0.001760,0.001156,0.003967
2025-02-25,-0.001459,18.98,0.45,19.43,0.000753,-0.004775,-0.000802,-0.001010
2025-02-26,0.003248,19.43,-0.33,19.10,0.000409,0.003744,0.002859,0.005980
2025-02-27,-0.003392,19.10,2.03,21.13,-0.000868,-0.006305,-0.003249,-0.003145
2025-02-28,0.005241,21.13,-1.50,19.63,0.002934,0.003916,0.003145,0.010970
2025-03-03,0.001438,19.63,3.15,22.78,0.002776,-0.000742,0.003597,0.000121
2025-03-04,0.009910,22.78,0.73,23.51,0.004895,0.019606,0.012644,0.002496
2025-03-05,0.000224,23.51,-1.58,21.93,0.002415,-0.001471,-0.000978,0.000930
2025-03-06,0.004057,21.93,2.94,24.87,0.005163,-0.000770,0.001708,0.010127
2025-03-07,0.000225,24.87,-1.50,23.37,-0.003637,-0.002556,0.004313,0.002778
2025-03-10,0.006596,23.37,4.49,27.86,0.010149,0.008876,0.004329,0.003032
2025-03-11,0.004232,27.86,-0.94,26.92,0.002843,0.004457,0.004561,0.005067
2025-03-12,-0.001879,26.92,-2.69,24.23,-0.000006,-0.001937,-0.003244,-0.002328
2025-03-13,-0.001369,24.23,0.43,24.66,0.000663,-0.004345,-0.002180,0.000387
2025-03-14,0.001310,24.66,-2.89,21.77,-0.003624,0.003615,-0.003060,0.008310
2025-03-17,-0.001611,21.77,-1.26,20.51,-0.003714,-0.004428,0.003439,-0.001740
2025-03-18,-0.002615,20.51,1.19,21.70,-0.000531,-0.001762,-0.003777,-0.004390
2025-03-19,-0.002110,21.70,-1.80,19.90,0.000051,-0.000297,-0.001464,-0.006730
2025-03-20,0.001834,19.90,-0.10,19.80,0.003415,0.000075,0.004569,-0.000724
2025-03-21,0.000050,19.80,-0.52,19.28,0.005175,0.000327,-0.001999,-0.003302
2025-03-24,-0.000445,19.28,-1.80,17.48,-0.000260,-0.000597,0.000879,-0.001804
2025-03-25,-0.000531,17.48,-0.33,17.15,-0.002898,-0.000552,0.000776,0.000548
2025-03-26,-0.003245,17.15,1.18,18.33,-0.002368,-0.003540,-0.004620,-0.002452
2025-03-27,-0.000077,18.33,0.36,18.69,-0.010513,0.001206,0.006910,0.002089
2025-03-28,-0.001203,18.69,2.96,21.65,-0.000389,-0.001569,-0.001732,-0.001121
2025-03-31,-0.001403,21.65,0.63,22.28,0.000269,-0.006967,-0.000396,0.001481
2025-04-01,0.000932,22.28,-0.51,21.77,-0.000730,0.003354,0.007081,-0.005977
2025-04-02,0.001122,21.77,-0.26,21.51,0.002953,-0.000997,0.000219,0.002315
2025-04-03,0.009163,21.51,8.51,30.02,0.011404,0.023164,0.001185,0.000901
2025-04-04,0.000554,30.02,15.29,45.31,-0.000601,-0.007401,0.013730,-0.003512
2025-04-07,0.007939,45.31,1.67,46.98,0.022592,0.007900,-0.004450,0.005714
2025-04-08,-0.007544,46.98,5.35,52.33,-0.009682,-0.001504,-0.009463,-0.009528
2025-04-09,0.005821,52.33,-18.71,33.62,0.005409,0.013692,0.007067,-0.002886
2025-04-10,-0.001104,33.62,7.10,40.72,-0.001341,-0.000634,-0.000950,-0.001489
2025-04-11,0.004274,40.72,-3.16,37.56,0.002061,0.009287,0.004137,0.001610
2025-04-14,0.001735,37.56,-6.67,30.89,0.003440,-0.007557,0.010110,0.000950
2025-04-15,-0.003891,30.89,-0.77,30.12,-0.005780,0.000230,-0.006273,-0.003742
2025-04-16,0.002804,30.12,2.52,32.64,-0.005561,0.015063,0.001060,0.000652
2025-04-17,0.003440,32.64,-2.99,29.65,0.000551,0.001714,0.004200,0.007296
2025-04-21,-0.004838,29.65,4.17,33.82,-0.004553,-0.003953,-0.006537,-0.004311
2025-04-22,-0.003613,33.82,-3.25,30.57,-0.006335,-0.002138,-0.002089,-0.003891
2025-04-23,0.004712,30.57,-2.12,28.45,0.006095,0.003423,0.007080,0.002250
2025-04-24,0.001657,28.45,-1.98,26.47,0.003262,-0.000364,0.001482,0.002249
2025-04-25,-0.001958,26.47,-1.63,24.84,-0.002964,-0.002243,-0.003031,0.000406
2025-04-28,0.000575,24.84,0.31,25.15,0.009430,-0.001618,-0.002415,-0.003097
2025-04-29,0.001442,25.15,-0.98,24.17,0.006592,0.001071,0.000479,-0.002373
2025-04-30,0.003090,24.17,0.53,24.70,0.006344,-0.000488,0.000172,0.006333
2025-05-01,0.000868,24.70,-0.10,24.60,-0.003837,0.002339,0.003731,0.001239
2025-05-02,0.001317,24.60,-1.92,22.68,0.006093,-0.002654,0.001053,0.000775
2025-05-05,-0.000283,22.68,0.96,23.64,0.001165,0.000940,-0.001657,-0.001581
2025-05-06,0.002214,23.64,1.12,24.76,0.003454,0.002299,0.002488,0.000614
2025-05-07,0.003373,24.76,-1.21,23.55,0.007257,0.002950,0.003983,-0.000699
2025-05-08,0.000577,23.55,-1.07,22.48,0.000687,0.001059,0.000868,-0.000308
2025-05-09,-0.002037,22.48,-0.58,21.90,-0.003942,-0.003786,-0.000654,0.000232
2025-05-12,-0.001867,21.90,-3.51,18.39,-0.000687,-0.004142,-0.004000,0.001361
2025-05-13,-0.000952,18.39,-0.17,18.22,-0.000526,0.000213,-0.002032,-0.001460
2025-05-14,-0.001854,18.22,0.40,18.62,-0.001020,-0.004496,-0.000407,-0.001493
2025-05-15,0.000667,18.62,-0.79,17.83,0.000446,0.006226,-0.001216,-0.002785
2025-05-16,0.002313,17.83,-0.59,17.24,0.004951,0.004050,0.001202,-0.000952
2025-05-19,-0.000472,17.24,0.90,18.14,0.000763,-0.003346,-0.000573,0.001266
2025-05-20,0.002121,18.14,-0.05,18.09,0.002076,-0.000158,0.006829,-0.000262
2025-05-21,0.000905,18.09,2.78,20.87,-0.001499,0.004927,-0.001829,0.002021
2025-05-22,0.000311,20.87,-0.59,20.28,-0.000088,-0.000938,0.002520,-0.000249
2025-05-23,-0.002252,20.28,2.01,22.29,-0.003060,-0.002057,-0.003206,-0.000686
2025-05-27,0.004349,20.57,-1.61,18.96,0.003662,-0.000428,0.007474,0.006687
2025-05-28,-0.003209,18.96,0.35,19.31,0.002793,-0.001168,-0.004458,-0.010004
2025-05-29,0.000719,19.31,-0.13,19.18,0.004566,0.000051,-0.003334,0.001595
2025-05-30,0.000324,19.18,-0.61,18.57,0.006673,-0.004070,-0.002384,0.001078
2025-06-02,-0.000651,18.57,-0.21,18.36,-0.003646,-0.000864,-0.001216,0.003120
2025-06-03,-0.000516,18.36,-0.67,17.69,-0.002128,0.001134,-0.000867,-0.000205
2025-06-04,-0.001932,17.69,-0.08,17.61,-0.003931,-0.001869,0.000820,-0.002748
2025-06-05,0.001447,17.61,0.87,18.48,0.003339,-0.000713,-0.000580,0.003743
2025-06-06,-0.000882,18.48,-1.71,16.77,-0.002432,-0.001696,-0.000794,0.001394
2025-06-09,0.001721,16.77,0.39,17.16,0.001650,-0.001088,0.003722,0.002600
2025-06-10,0.002370,17.16,-0.21,16.95,0.000815,0.004872,0.003794,-0.000001
2025-06-11,0.000442,16.95,0.31,17.26,-0.001290,0.000117,0.001372,0.001568
2025-06-12,0.001327,17.26,0.76,18.02,0.000318,0.004737,0.000145,0.000108
2025-06-13,0.001183,18.02,2.80,20.82,0.000723,0.001966,-0.000331,0.002374
2025-06-16,-0.001292,20.82,-1.71,19.11,-0.003226,-0.000326,-0.000683,-0.000933
2025-06-17,-0.000163,19.11,2.49,21.60,-0.002079,-0.001743,0.003731,-0.000563
2025-06-18,-0.000415,21.60,-1.46,20.14,0.000778,-0.002563,0.000834,-0.000711
2025-06-20,0.001867,22.17,-1.55,20.62,0.000108,0.000784,-0.001253,0.007829
2025-06-23,0.001249,20.62,-0.79,19.83,0.001485,0.000935,0.001115,0.001461
2025-06-24,-0.002591,19.83,-2.35,17.48,-0.001447,-0.003176,0.000667,-0.006407
2025-06-25,-0.000164,17.48,-0.72,16.76,-0.002088,-0.000250,-0.000713,0.002395
2025-06-26,0.001597,16.76,-0.17,16.59,0.000281,0.001929,0.000167,0.004012
2025-06-27,0.000196,16.59,-0.27,16.32,-0.000840,0.001304,0.001037,-0.000719
2025-06-30,-0.000957,16.32,0.41,16.73,0.005687,-0.001014,-0.006998,-0.001502
2025-07-01,-0.000303,16.73,0.10,16.83,0.002953,-0.001231,-0.004766,0.001831
2025-07-02,-0.000819,16.83,-0.19,16.64,-0.003251,0.000154,-0.002191,0.002010
2025-07-03,0.001627,16.64,-0.26,16.38,0.004313,0.000399,-0.000525,0.002321
2025-07-07,0.000536,17.48,0.31,17.79,-0.000972,0.003136,0.000673,-0.000691
2025-07-08,-0.002557,17.79,-0.98,16.81,-0.005229,-0.002991,0.001488,-0.003495
2025-07-09,-0.002967,16.81,-0.87,15.94,-0.004884,-0.002870,-0.003156,-0.000960
2025-07-10,0.000615,15.94,-0.16,15.78,0.002720,0.000375,0.000011,-0.000645
2025-07-11,0.002378,15.78,0.62,16.40,0.001157,0.004479,0.000518,0.003357
2025-07-14,-0.002387,16.40,0.80,17.20,-0.005593,-0.002672,0.000144,-0.001427
2025-07-15,0.003630,17.20,0.18,17.38,-0.001594,0.012003,-0.003261,0.007371
2025-07-16,-0.001802,17.38,-0.22,17.16,-0.003531,-0.003006,-0.002718,0.002046
2025-07-17,0.001831,17.16,-0.64,16.52,0.002441,-0.000832,0.007433,-0.001718
2025-07-18,0.002063,16.52,-0.11,16.41,0.002032,0.002609,0.002174,0.001437
2025-07-21,-0.000717,16.41,0.24,16.65,-0.000535,-0.002430,-0.000009,0.000105
2025-07-22,-0.001231,16.65,-0.15,16.50,0.001548,-0.008091,0.000907,0.000712
2025-07-23,0.001665,16.50,-1.13,15.37,0.003670,0.000025,0.002084,0.000881
2025-07-24,-0.005366,15.37,0.02,15.39,-0.006164,-0.006305,-0.008088,-0.000908
2025-07-25,0.000821,15.39,-0.46,14.93,0.001697,0.002109,0.000885,-0.001406
2025-07-28,0.002701,14.93,0.10,15.03,0.004109,0.002114,0.001760,0.002819
2025-07-29,-0.002719,15.03,0.95,15.98,-0.002546,-0.002032,-0.004910,-0.001388
2025-07-30,-0.005192,15.98,-0.50,15.48,-0.000041,-0.000545,0.001720,-0.021901
2025-07-31,0.000083,15.48,1.24,16.72,0.003179,-0.003741,-0.003736,0.004629
2025-08-01,0.002237,16.72,3.66,20.38,-0.000718,0.002728,0.007236,-0.000298
2025-08-04,0.001544,20.38,-2.86,17.52,-0.003082,-0.000143,0.000454,0.008946
2025-08-05,-0.001834,17.52,0.33,17.85,-0.001262,-0.002262,-0.003420,-0.000391
2025-08-06,-0.000459,17.85,-1.08,16.77,-0.003446,0.000698,0.000171,0.000742
2025-08-07,-0.004214,16.77,-0.20,16.57,-0.013892,-0.004192,0.000983,0.000244
2025-08-08,-0.002891,16.57,-1.42,15.15,-0.006754,-0.001876,-0.002869,-0.000066
2025-08-11,0.000943,15.15,1.10,16.25,0.001444,-0.000858,0.000602,0.002586
2025-08-12,-0.000940,16.25,-1.52,14.73,-0.001717,-0.003653,-0.001724,0.003334
2025-08-13,0.000900,14.73,-0.24,14.49,0.000257,0.001408,0.000119,0.001818
2025-08-14,-0.005390,14.49,0.34,14.83,-0.004319,-0.006243,-0.006796,-0.004204
2025-08-15,0.000374,14.83,0.26,15.09,0.000919,0.001882,-0.000298,-0.001008
2025-08-18,-0.000105,15.09,-0.10,14.99,0.001376,0.000483,0.000794,-0.003073
2025-08-19,-0.000407,14.99,0.58,15.57,0.002930,-0.002766,-0.002444,0.000652
2025-08-20,-0.001819,15.57,0.12,15.69,-0.001836,-0.004170,-0.000119,-0.001152
2025-08-21,-0.002073,15.69,0.91,16.60,-0.001177,-0.002962,-0.003402,-0.000750
2025-08-22,-0.001383,16.60,-2.38,14.22,-0.000895,-0.000649,-0.002658,-0.001329
2025-08-25,-0.000986,14.22,0.57,14.79,-0.002657,-0.001591,-0.000934,0.001237
2025-08-26,0.002968,14.79,-0.17,14.62,0.001273,0.000846,0.002699,0.007055
2025-08-27,0.006693,14.62,0.23,14.85,0.002725,0.018391,0.003753,0.001904
2025-08-28,0.000041,14.85,-0.42,14.43,0.000349,-0.000637,0.000895,-0.000445
2025-08-29,-0.002722,14.43,0.93,15.36,-0.001777,0.001578,-0.005114,-0.005574
2025-09-02,-0.003979,16.12,1.05,17.17,-0.007856,0.002053,-0.006948,-0.003163
2025-09-03,-0.004863,17.17,-0.82,16.35,0.000588,-0.007549,-0.008811,-0.003680
2025-09-04,-0.001183,16.35,-1.05,15.30,-0.001726,-0.001740,0.000810,-0.002075
2025-09-05,-0.004164,15.30,-0.12,15.18,-0.007304,-0.004167,-0.004106,-0.001078
2025-09-08,-0.000868,15.18,-0.07,15.11,-0.000105,-0.005568,-0.000296,0.002498
2025-09-09,0.002509,15.11,-0.07,15.04,0.003822,0.004216,0.001180,0.000820
2025-09-10,-0.000457,15.04,0.31,15.35,0.001231,-0.002592,-0.000680,0.000213
2025-09-11,-0.000709,15.35,-0.64,14.71,0.000001,-0.002093,-0.000796,0.000051
2025-09-12,0.000554,14.71,0.05,14.76,-0.001900,-0.000366,-0.001366,0.005847
2025-09-15,0.000639,14.76,0.93,15.69,0.000568,0.000967,0.002718,-0.001696
2025-09-16,-0.000559,15.69,0.67,16.36,-0.003241,-0.002471,-0.004189,0.007666
2025-09-17,-0.000864,16.36,-0.64,15.72,-0.002036,0.001640,-0.001473,-0.001589
2025-09-18,0.002069,15.72,-0.02,15.70,0.004187,0.002669,0.000195,0.001227
2025-09-19,0.000036,15.70,-0.25,15.45,0.002378,-0.000292,0.001438,-0.003379
2025-09-22,0.000648,15.45,0.65,16.10,-0.000424,0.002354,-0.000190,0.000854
2025-09-23,0.000263,16.10,0.54,16.64,-0.002849,0.000648,0.003513,-0.000260
2025-09-24,-0.001151,16.64,-0.46,16.18,-0.000689,-0.001322,-0.002118,-0.000477
2025-09-25,-0.000701,16.18,0.56,16.74,0.001120,0.001190,-0.004686,-0.000428
2025-09-26,0.001566,16.74,-1.45,15.29,0.001930,0.002516,0.001247,0.000569
2025-09-29,0.001229,15.29,0.83,16.12,-0.000312,-0.000358,0.002098,0.003487
2025-09-30,0.000154,16.12,0.16,16.28,-0.004342,-0.000917,-0.002166,0.008041
2025-10-01,-0.000951,16.28,0.01,16.29,-0.002905,-0.000522,-0.001156,0.000777
2025-10-02,0.000184,16.29,0.34,16.63,-0.004571,-0.000842,0.003300,0.002848
2025-10-03,0.000212,16.63,0.02,16.65,-0.000915,0.003203,-0.001113,-0.000329
2025-10-06,0.000303,16.65,-0.28,16.37,0.002175,-0.002001,0.000888,0.000150
2025-10-07,-0.000262,16.37,0.87,17.24,0.001939,-0.001895,0.001138,-0.002230
2025-10-08,-0.003886,17.24,-0.94,16.30,0.000267,-0.014971,0.001354,-0.002192
2025-10-09,-0.001593,16.30,0.13,16.43,-0.000805,-0.001095,-0.003124,-0.001348
2025-10-10,-0.000854,16.43,5.23,21.66,-0.000848,-0.001778,0.000704,-0.001494
2025-10-13,-0.000235,21.66,-2.63,19.03,-0.002935,-0.000434,-0.001302,0.003731
2025-10-14,0.005074,19.03,1.78,20.81,0.003891,0.018837,-0.003892,0.001461
2025-10-15,-0.000801,20.81,-0.17,20.64,0.002837,-0.003391,-0.003877,0.001227
2025-10-16,0.001103,20.64,4.67,25.31,-0.000948,-0.002120,0.003924,0.003557
2025-10-17,0.001070,25.31,-4.53,20.78,0.003759,0.001586,0.002401,-0.003468
2025-10-20,0.001442,20.78,-2.55,18.23,-0.001922,0.003784,0.002262,0.001644
2025-10-21,0.002338,18.23,-0.36,17.87,0.001983,0.003177,0.001486,0.002706
2025-10-22,-0.004048,17.87,0.73,18.60,0.001827,-0.019147,-0.000240,0.001367
2025-10-23,-0.002482,18.60,-1.30,17.30,-0.005281,-0.004516,0.000457,-0.000588
2025-10-24,-0.002203,17.30,-0.93,16.37,-0.003100,-0.000167,-0.002099,-0.003445
2025-10-27,0.000882,16.37,-0.58,15.79,0.001269,0.002035,0.000228,-0.000005
2025-10-28,-0.000345,15.79,0.63,16.42,-0.001260,0.000987,-0.002338,0.001229
2025-10-29,-0.000794,16.42,0.50,16.92,0.001720,-0.000981,0.001670,-0.005582
2025-10-30,-0.002150,16.92,-0.01,16.91,-0.003253,0.004946,-0.004222,-0.006070
2025-10-31,0.001597,16.91,0.53,17.44,0.004711,-0.002161,-0.000010,0.003847
2025-11-03,0.000040,17.44,-0.27,17.17,0.000546,0.000272,-0.000943,0.000284
2025-11-04,0.001513,17.17,1.83,19.00,0.001964,0.001549,0.003468,-0.000930
2025-11-05,0.000547,19.00,-0.99,18.01,0.001899,0.002383,-0.002071,-0.000021
2025-11-06,0.001869,18.01,1.49,19.50,0.000002,0.004171,0.001802,0.001502
2025-11-07,0.002210,19.50,-0.42,19.08,0.001614,0.003102,0.005095,-0.000972
2025-11-10,-0.001229,19.08,-1.48,17.60,-0.006887,0.000199,-0.000013,0.001786
2025-11-11,-0.000897,17.60,-0.32,17.28,0.000401,-0.002354,-0.000991,-0.000646
2025-11-12,-0.000546,17.28,0.23,17.51,-0.001980,-0.000201,0.001275,-0.001276
2025-11-13,0.001043,17.51,2.49,20.00,0.002333,0.000550,0.001745,-0.000456
2025-11-14,0.001419,20.00,-0.17,19.83,0.001228,-0.000678,0.002817,0.002310
2025-11-17,-0.002640,19.83,2.55,22.38,-0.003169,0.000241,-0.002621,-0.005009
2025-11-18,-0.001542,22.38,2.31,24.69,-0.003348,-0.001745,-0.001386,0.000313
2025-11-19,0.003392,24.69,-1.03,23.66,0.004897,0.004343,0.002908,0.001418
2025-11-20,0.000859,23.66,2.76,26.42,0.000691,-0.005678,-0.000141,0.008565
2025-11-21,0.002168,26.42,-2.99,23.43,0.006917,0.000194,0.001182,0.000379
2025-11-24,0.000053,23.43,-2.91,20.52,-0.002086,0.002922,0.002327,-0.002950
2025-11-25,-0.002130,20.52,-1.96,18.56,-0.005017,-0.005905,-0.002413,0.004814
2025-11-26,-0.002414,18.56,-1.37,17.19,-0.001792,-0.002842,-0.004969,-0.000055
2025-11-28,-0.001057,17.21,-0.86,16.35,-0.003298,0.000077,-0.001366,0.000359
2025-12-01,-0.000348,16.35,0.89,17.24,0.002948,-0.002881,-0.003349,0.001891
2025-12-02,0.000067,17.24,-0.65,16.59,-0.000702,-0.001435,0.002628,-0.000226
2025-12-03,0.003543,16.59,-0.51,16.08,0.006211,0.002725,0.003011,0.002224
2025-12-04,-0.002081,16.08,-0.30,15.78,-0.000643,-0.001011,-0.004175,-0.002495
2025-12-05,-0.000023,15.78,-0.37,15.41,-0.002041,-0.000625,0.002096,0.000478
2025-12-08,0.003329,15.41,1.25,16.66,-0.001969,0.000744,0.002506,0.012035
2025-12-09,0.001640,16.66,0.27,16.93,0.000347,0.003130,0.001102,0.001980
2025-12-10,0.003579,16.93,-1.16,15.77,0.005914,0.002818,0.003848,0.001735
2025-12-11,-0.002429,15.77,-0.92,14.85,-0.000516,-0.001026,-0.000065,-0.008111
2025-12-12,-0.003520,14.85,0.89,15.74,-0.002974,0.002899,-0.007206,-0.006798
2025-12-15,0.003743,15.74,0.76,16.50,0.005605,0.002838,0.002471,0.004058
2025-12-16,0.001410,16.50,-0.02,16.48,-0.000932,-0.000274,0.001618,0.005227
2025-12-17,-0.000927,16.48,1.14,17.62,-0.001843,-0.000228,-0.003593,0.001954
2025-12-18,0.001875,17.62,-0.75,16.87,0.002836,0.001042,0.004133,-0.000513
2025-12-19,-0.000900,16.87,-1.96,14.91,-0.001322,-0.001187,-0.001567,0.000478
2025-12-22,-0.000386,14.91,-0.83,14.08,0.000109,-0.001556,0.002869,-0.002969
2025-12-23,-0.000140,14.08,-0.08,14.00,-0.001605,0.000653,-0.000794,0.001188
2025-12-24,0.002484,14.00,-0.53,13.47,0.002701,0.002223,0.001835,0.003176
2025-12-26,0.000312,13.47,0.13,13.60,0.001669,0.001031,0.000118,-0.001570
2025-12-29,-0.000469,13.60,0.60,14.20,0.001008,-0.002187,0.000674,-0.001369
2025-12-30,0.000311,14.20,0.13,14.33,0.000290,0.001083,-0.001547,0.001419
2025-12-31,0.001222,14.33,0.62,14.95,0.002937,0.001395,-0.001061,0.001616
2026-01-02,0.002897,14.95,-0.44,14.51,0.001129,0.002933,0.002676,0.004848
2026-01-05,-0.002281,14.51,0.39,14.90,-0.001813,-0.005116,-0.003479,0.001285
2026-01-06,-0.002193,14.90,-0.15,14.75,-0.001469,-0.002965,-0.002044,-0.002293
2026-01-07,0.003448,14.75,0.63,15.38,0.002008,0.003929,0.006432,0.001424
2026-01-08,0.000460,15.38,0.07,15.45,0.003766,0.000422,-0.000889,-0.001458
2026-01-09,0.003825,15.45,-0.96,14.49,0.003338,0.003001,0.005526,0.003436
2026-01-12,-0.000133,14.49,0.63,15.12,-0.001074,-0.001716,-0.001566,0.003825
2026-01-13,0.001340,15.12,0.86,15.98,0.004936,-0.000985,0.000678,0.000733
2026-01-14,0.001945,15.98,0.77,16.75,0.003713,0.000729,0.002304,0.001035
2026-01-15,-0.004624,16.75,-0.91,15.84,-0.009852,-0.010200,0.001037,0.000520
2026-01-16,0.000222,15.84,0.02,15.86,-0.001214,-0.002261,-0.000161,0.004525
2026-01-20,0.005693,18.84,1.25,20.09,0.002769,0.009553,0.001894,0.008556
2026-01-21,-0.001026,20.09,-3.19,16.90,0.000558,-0.002212,-0.000379,-0.002072
2026-01-22,-0.000843,16.90,-1.26,15.64,0.000982,0.000776,-0.002231,-0.002900
2026-01-23,0.001304,15.64,0.45,16.09,0.004200,0.000528,0.000629,-0.000142
2026-01-26,-0.003355,16.09,0.06,16.15,-0.003709,-0.004192,-0.000168,-0.005351
2026-01-27,0.001262,16.15,0.20,16.35,0.001077,0.002100,-0.000431,0.002301
2026-01-28,-0.004221,16.35,0.00,16.35,-0.008058,-0.002206,-0.002498,-0.004123
2026-01-29,0.000243,16.35,0.53,16.88,0.001050,0.000173,-0.001323,0.001070
2026-01-30,-0.003159,16.88,0.56,17.44,-0.000956,0.000155,0.000360,-0.012195
2026-02-02,0.002123,17.44,-1.10,16.34,0.005098,0.001479,0.006011,-0.004097
2026-02-03,-0.002636,16.34,1.66,18.00,-0.002051,-0.006581,-0.005134,0.003220
2026-02-04,0.001487,18.00,0.64,18.64,-0.000021,0.004674,0.000382,0.000913
2026-02-05,-0.000955,18.64,3.13,21.77,-0.008252,0.004811,-0.003690,0.003310
2026-02-06,0.010028,21.77,-4.01,17.76,0.020389,0.009264,0.010732,-0.000273
2026-02-09,0.000821,17.76,-0.40,17.36,-0.000502,0.002128,-0.000809,0.002466
2026-02-10,-0.001130,17.36,0.43,17.79,-0.002877,-0.003314,0.000995,0.000677
2026-02-11,0.007346,17.79,-0.14,17.65,0.009844,0.010065,0.008410,0.001066
2026-02-12,0.001041,17.65,3.17,20.82,-0.004881,0.005950,0.003276,-0.000182
2026-02-13,-0.002370,20.82,-0.22,20.60,-0.001352,-0.005649,-0.003958,0.001480
2026-02-17,-0.001308,21.20,-0.91,20.29,-0.003559,-0.000890,0.002114,-0.002894
2026-02-18,0.000338,20.29,-0.67,19.62,0.006176,-0.006606,0.001499,0.000282
2026-02-19,-0.005396,19.62,0.61,20.23,-0.004490,-0.007139,-0.006866,-0.003090
2026-02-20,-0.000616,20.23,-1.14,19.09,0.003614,-0.002249,-0.002888,-0.000941
2026-02-23,-0.000699,19.09,1.92,21.01,-0.002078,-0.000694,0.001166,-0.001191
2026-02-24,-0.001728,21.01,-1.46,19.55,-0.001240,-0.003429,-0.004196,0.001953
2026-02-25,0.002342,19.55,-1.62,17.93,0.007754,-0.008175,0.006893,0.002895
2026-02-26,0.001050,17.93,0.70,18.63,-0.002416,0.002012,0.002973,0.001629
2026-02-27,-0.010146,18.63,1.23,19.86,-0.009682,-0.012837,-0.012118,-0.005946
2026-03-02,0.004096,19.86,1.58,21.44,0.003571,0.010823,0.002340,-0.000349
2026-03-03,-0.018168,21.44,2.13,23.57,-0.022364,-0.030706,-0.020534,0.000934
2026-03-04,0.004350,23.57,-2.42,21.15,0.010300,0.004423,0.005132,-0.002458
2026-03-05,-0.007010,21.15,2.60,23.75,-0.009206,-0.008977,-0.007674,-0.002183
2026-03-06,-0.021978,23.75,5.74,29.49,-0.026021,-0.025350,-0.023257,-0.013284
2026-03-09,-0.004904,29.49,-3.99,25.50,-0.005834,-0.006684,0.000141,-0.007238
2026-03-10,0.001968,25.50,-0.57,24.93,-0.001449,0.009582,-0.003493,0.003231
2026-03-11,-0.006840,24.93,-0.70,24.23,-0.006284,-0.010440,-0.007682,-0.002953
2026-03-12,-0.005160,24.23,3.06,27.29,-0.006848,-0.011020,-0.003133,0.000359
