ticker,direction,pattern,entry_time,exit_time,entry_price,exit_price,position_size,stop_price,target_price,pnl,pnl_r,exit_reason,max_favorable,max_adverse,is_winner
AAPL,short,LP1,2025-12-16 17:25:00,2025-12-16 17:25:00,273.56617582,276.7016361620901,94,276.64630690070993,265.0022599640947,-294.73327215646793,-0.9829869536911524,stop_loss,0.025175820000015392,4.200824179999984,False
AAPL,short,LP1,2025-12-30 17:40:00,2025-12-30 22:55:00,272.76713566,273.044598,94,275.8472667407099,265.37211980409467,-26.08145995999996,-0.08699897807578941,eod_exit,0.5248356600000079,0.7528643399999737,False
AMD,short,LP2,2025-06-09 18:50:00,2025-06-09 19:30:00,121.87562000000001,122.12838559345188,1082,122.10396480049178,120.21532,-273.4923721149224,-0.9121792250447774,stop_loss,0.1656200000000183,0.23437999999998738,False
AMD,short,CLP,2025-07-18 19:25:00,2025-07-18 19:45:00,156.81862999999998,156.95346815268073,1805,156.92208373593354,156.23792999999998,-243.38286558874103,-0.8113897229636295,stop_loss,0.01862999999997328,0.11137000000002217,False
AMD,short,LP1,2025-10-13 17:20:00,2025-10-14 16:30:00,216.80033126,218.36256685660155,186,218.31890307598636,211.07653126000002,-290.5758209678863,-0.9731725093960926,stop_loss,0.2903312600000163,1.8996687399999814,False
AMZN,long,LP2,2025-07-15 20:35:00,2025-07-15 22:55:00,226.355262,226.35525294578954,629,226.40053305240002,227.525262,-0.005695098383000641,-1.901008078060678e-05,breakeven_stop,0.7947379999999953,0.24526199999999676,False
AMZN,long,MODEL4,2025-10-30 18:30:00,2025-10-30 20:00:00,251.930376,248.8684772236553,144,248.91826087583047,261.09526065011073,-440.9134237936355,-0.9836189748401691,stop_loss,0.48962399999999207,26.740375999999998,False
AMZN,short,CLP,2025-11-04 19:05:00,2025-11-04 20:00:00,248.40031,248.4003000639876,355,248.350629938,246.31911,0.003527284398359143,1.1763373511167271e-05,breakeven_stop,1.4003099999999904,8.60969,True
AMZN,short,LP1,2025-11-10 22:20:00,2025-11-10 22:35:00,248.170356,248.6492605301858,567,248.5995406220614,245.970356,-271.5388686153573,-0.9062049956680162,stop_loss,0.2703559999999925,0.9596439999999973,False
AMZN,long,MODEL4,2026-01-09 17:35:00,2026-01-09 22:55:00,247.37016413999999,247.260538,145,244.38437820402623,256.09306413999997,-15.895790299998396,-0.03553851095284245,eod_exit,0.4898358600000279,1.8601641399999949,False
AMZN,long,MODEL4,2026-01-12 17:40:00,2026-01-12 22:55:00,246.44427900000002,246.370716,145,243.45849306402627,256.087179,-10.666635000005158,-0.023850437508337135,eod_exit,2.4957209999999748,1.734279000000015,False
BA,long,MODEL4,2025-07-28 16:45:00,2025-07-28 16:50:00,236.52409536,250.7832118595402,177,236.571400179072,242.11039535999998,2061.6379757521686,4.581790392742765,trail_stop,16.022604639999997,7.306195360000004,True
BA,short,LP1,2025-12-11 17:55:00,2025-12-11 18:05:00,200.65985999999998,201.19877243437392,518,201.15854072622867,199.03985999999998,-279.1566410057015,-0.9308208427210414,stop_loss,0.0,0.5401400000000081,False
BA,long,MODEL4,2025-12-12 17:05:00,2025-12-12 17:05:00,204.5409,202.0613910842751,178,202.10181144656443,210.4826,-441.35258699903085,-0.9835868573773888,stop_loss,0.17910000000000537,10.973600000000005,False
BA,long,MODEL4,2026-01-12 17:05:00,2026-01-16 18:10:00,239.69793,239.69792041208282,195,239.74586958600003,252.32000590838686,461.4638689041149,1.0264358394213853,breakeven_stop,8.465269999999975,35.447930000000014,True
BA,long,MODEL4,2026-01-16 18:15:00,2026-01-20 16:35:00,247.639518,245.38075134543885,193,245.42983731290144,252.27339390838685,-435.9419643303033,-0.9783598097093268,stop_loss,1.4931819999999902,40.929518,False
BA,long,MODEL4,2026-01-29 17:00:00,2026-01-29 17:10:00,234.27684599999998,232.02075187983885,195,232.06716531290144,239.856846,-439.93835343141893,-0.9794742000709523,stop_loss,0.20785400000002596,8.189145999999965,False
BABA,long,LP1,2025-12-18 18:00:00,2025-12-18 18:10:00,147.909576,147.48007408479998,653,147.50957599999998,149.00957599999998,-280.4647506256043,-0.9354486980006127,stop_loss,0.09042400000001294,0.5895759999999939,False
BIDU,short,LP2,2026-01-08 18:00:00,2026-01-08 18:05:00,141.23174799999998,141.6600743496,657,141.631748,139.22005548128303,-281.41041168720864,-0.9383902429192544,stop_loss,0.0,0.4682520000000068,False
COIN,short,MODEL4,2025-11-13 17:30:00,2025-11-13 18:05:00,284.503088,286.5658779139256,211,286.50857619868583,274.15048642649145,-435.24867183830133,-0.9734144046617009,stop_loss,1.3630880000000047,2.3769120000000044,False
COIN,short,MODEL4,2025-11-17 17:35:00,2025-11-19 17:15:00,263.84722,266.92294214328064,142,266.8695682296347,232.17929976395126,-436.75254434585133,-0.9832773635588705,stop_loss,20.478219999999993,11.84717999999998,False
COIN,long,LP1,2025-12-26 19:05:00,2025-12-26 19:05:00,236.52729599999998,236.25767573545693,946,236.3049367228015,237.23729599999996,-255.0607702577256,-0.8507215410431093,stop_loss,0.0,0.27729599999997845,False
GOOGL,long,MODEL4,2025-09-09 18:15:00,2025-09-09 22:55:00,239.8874679,239.59207199999997,154,237.0840281459735,248.2977871620795,-45.49096860000259,-0.10188076734837699,eod_exit,0.5825321000000088,2.647467899999981,False
GOOGL,long,MODEL4,2025-09-10 18:30:00,2025-09-10 22:55:00,238.88786802,239.072176,154,236.08442826597351,247.2981872820795,28.38342891999997,0.06357622783207843,eod_exit,2.7721319799999833,0.32786802000001103,True
IBIT,short,LP2,2025-11-04 19:45:00,2025-11-05 16:30:00,56.958605999999996,57.1982433612,1195,57.186806,56.089406,-286.366646634004,-0.9547773866828935,stop_loss,0.0388059999999939,1.8613940000000042,False
JPM,long,MODEL4,2025-07-02 16:50:00,2025-07-02 16:50:00,288.0581001,285.91512318023473,204,285.97231764376346,294.31544746870964,-437.1672916321131,-0.9736406262698085,stop_loss,0.05089989999999034,37.8871001,False
JPM,long,MODEL4,2025-08-27 16:55:00,2025-09-02 17:40:00,296.9713824,294.4444005392179,172,294.5033011994578,304.37562600162664,-434.6408800545189,-0.9737349170785462,stop_loss,2.377917600000046,32.997182399999986,False
JPM,short,MODEL4,2026-01-15 17:35:00,2026-01-15 17:40:00,309.318124,312.35557953584976,144,312.2931209116674,300.790024,-437.3935971623632,-0.9802174299033113,stop_loss,0.06812400000001162,12.518475999999964,False
META,short,LP1,2025-06-12 18:10:00,2025-06-12 19:00:00,691.04916252,691.665032599582,397,691.5267272541312,689.1833625200001,-244.5004215940578,-0.8166571087571097,stop_loss,0.6001625200000262,0.7568374800000583,False
META,short,MODEL4,2025-09-03 17:15:00,2025-09-03 17:20:00,736.54946064,710.6495655651363,33,749.4112664576026,706.20396064,893.4358146675773,2.057836547228041,trail_stop,35.04526064000004,0.18723936000003505,True
MSFT,long,LP2,2026-01-21 21:45:00,2026-01-21 22:00:00,444.11880599999995,444.1187882352477,196,444.20762976119994,447.368906,-0.0034818914452898753,-1.1662848475393395e-05,breakeven_stop,2.4511940000000436,0.08880599999997685,False
MU,short,LP1,2025-09-15 18:05:00,2025-09-15 19:15:00,157.63026764,157.63026133478928,1611,157.598741586472,157.05076763999998,0.010157694466670364,3.38635211522798e-05,breakeven_stop,0.2980676399999993,0.0915323600000022,True
NVDA,short,LP2,2025-11-04 21:40:00,2025-11-04 22:05:00,198.97019799999998,199.41007203959998,625,199.370198,197.39559799999998,-274.9212747499996,-0.9171609069148592,stop_loss,0.3901979999999696,0.5498020000000281,False
SNOW,long,LP2,2025-07-30 17:45:00,2025-07-30 18:30:00,226.99539,226.04930933971966,302,226.09452824536874,229.63538999999997,-285.7163594046597,-0.9540356435669238,stop_loss,1.5046100000000138,6.715389999999985,False
SNOW,short,LP2,2025-08-27 18:20:00,2025-08-27 18:30:00,225.80482999999998,223.14686518505343,302,226.70569175463123,223.1022447361062,802.7053741138589,2.681666037381976,target_hit,25.414829999999995,0.4451700000000187,True
SNOW,short,LP1,2025-08-27 19:00:00,2025-08-27 19:00:00,200.349922,201.29103391138216,302,201.25078375463124,197.6473367361062,-284.215797237414,-0.9496954922668687,stop_loss,0.0,25.530078000000003,False
SNOW,short,CLP,2025-09-09 18:00:00,2025-09-09 18:35:00,229.4541,226.15206229095594,343,230.23530131824486,227.3041,1010.4540842396231,3.3751813952883554,trail_stop,3.8941000000000088,0.3459000000000003,True
SNOW,short,LP2,2025-10-02 19:30:00,2025-10-02 19:40:00,241.25174,241.80671726468051,497,241.7583655915622,238.96954,-275.8237005462097,-0.9203565339338051,stop_loss,0.29174000000000433,0.7482599999999877,False
TSLA,long,LP1,2025-04-25 17:20:00,2025-04-25 22:55:00,285.02689398,284.823024,8,250.52128258320002,355.49669398000003,-1.630959840000287,-0.00588886153112946,eod_exit,1.8231060200000115,3.97689398,False
TSLA,short,MODEL4,2025-06-03 17:00:00,2025-06-03 17:00:00,344.7930276,372.7135280433314,15,372.63900024328274,253.76302760000002,-418.80750664997066,-0.9977542284257852,stop_loss,76.49252760000002,110.66937239999999,False
TSLA,short,MODEL4,2025-07-02 17:00:00,2025-07-02 17:05:00,316.671653,230.13419848646797,15,344.5176256432827,220.98985299999998,1334.4624077664523,3.180399078237439,trail_stop,106.07565299999999,168.81554699999998,True
TSLA,short,LP1,2025-07-02 17:30:00,2025-07-02 17:45:00,316.29672800000003,230.13419848646797,10,344.14270064328275,220.91492800000003,889.1505576379245,3.1786572578736974,trail_stop,105.70072800000003,18.549171999999942,True
TSLA,short,MODEL4,2025-08-05 16:50:00,2025-08-05 16:50:00,306.85861600000004,334.7715295610114,15,334.70458864328276,181.38141235243774,-418.69370341517026,-0.9980028053792775,stop_loss,85.87041600000003,103.59138399999995,False
TSLA,short,LP2,2025-09-15 21:30:00,2025-09-15 22:10:00,406.57866800000005,409.3542761588105,105,409.2724216744756,396.697868,-291.43885667509494,-0.9717067675216317,stop_loss,4.148668000000043,3.2713319999999726,False
TSLA,short,LP1,2025-09-17 19:15:00,2025-09-17 19:30:00,428.4143,429.1393503627684,370,429.05353965483744,426.02430000000004,-268.2686342243079,-0.8944440666074068,stop_loss,0.0443000000000211,1.2656999999999812,False
TSLA,short,LP1,2025-11-03 20:45:00,2025-11-03 21:05:00,468.436294,466.2309585569569,447,468.3426067412,466.58839399999994,925.3840247132786,3.090489486883456,trail_stop,3.796293999999989,0.42370600000003833,True
TSLA,short,LP1,2025-12-17 17:45:00,2025-12-17 19:35:00,468.4063,469.9935547184764,178,469.8995748035157,463.08689999999996,-282.5313398887995,-0.9444196286593527,stop_loss,1.5763000000000034,20.2937,False
TSM,short,LP2,2025-05-28 18:20:00,2025-05-28 18:20:00,197.33542502,197.774972105004,626,197.73542502,195.95812502,-275.15647521250037,-0.9176395840295563,stop_loss,0.0,0.624074979999989,False
TSM,long,MODEL4,2025-09-10 16:55:00,2025-09-10 17:20:00,257.90247018,254.95325446412693,148,255.00425531518997,266.5971147744302,-436.483925949218,-0.9826123883075402,stop_loss,0.21692981999996164,9.268870180000022,False
TSM,long,MODEL4,2025-09-12 17:05:00,2025-09-12 17:05:00,258.25053978,255.3012544502069,148,255.35232491518994,266.9451843744302,-436.4942288093787,-0.9826473028776176,stop_loss,0.0,4.840039779999984,False
TSM,long,MODEL4,2025-09-15 17:00:00,2025-09-15 17:20:00,259.91137188,268.5522952711353,148,257.0131570151899,268.6060164744302,1278.8566618880227,2.8782291545230505,target_hit,15.803128119999997,0.3204718800000137,True
TSM,long,LP1,2025-09-15 17:30:00,2025-09-16 16:55:00,259.87156391999997,256.92195438537885,99,256.9733490551899,268.5662085144302,-292.01134392749066,-0.982501441352272,stop_loss,2.1432360800000083,19.275763919999974,False
TXN,long,LP2,2025-04-02 19:40:00,2025-04-02 19:50:00,168.58050935999998,170.25834152,641,168.61422546187197,169.65630935999997,953.3854375605774,3.182057241112695,trail_stop,1.9918906400000083,0.08220935999997891,True
TXN,short,LP2,2025-08-20 18:00:00,2025-08-20 18:05:00,197.6579605,198.0975720921,626,198.0579605,193.9279605,-275.19685665459576,-0.9177993174475313,stop_loss,0.0,0.7781395000000089,False
TXN,long,LP1,2025-10-29 17:35:00,2025-10-29 17:35:00,158.43588084,158.02503492064355,677,158.05664624989353,162.54248084,-278.1426874043243,-0.9284452326956406,stop_loss,0.11601915999997914,0.5240808400000105,False
TXN,short,LP1,2025-10-30 17:00:00,2025-10-30 17:00:00,155.0214895,155.45257379790002,647,155.4214895,149.0837263859619,-278.9115407413092,-0.9309344121048618,stop_loss,0.0,2.8804105000000106,False
V,short,LP2,2025-05-16 18:45:00,2025-05-16 18:45:00,359.85691422,360.5787592381365,377,360.5066579065552,357.85851422,-272.1355718374573,-0.9094508657473934,stop_loss,0.0,2.050585780000006,False
V,long,LP2,2025-11-18 17:15:00,2025-11-18 17:15:00,320.58970512,319.86369515989134,379,319.92768069603056,323.20029968869096,-275.1577748811911,-0.9187270480667568,stop_loss,0.0,1.240505120000023,False
V,short,LP1,2025-11-19 18:20:00,2025-11-19 18:40:00,323.15545598,323.15544305378177,647,323.090824888804,320.33512807402946,233.9151743546961,0.779950800542621,breakeven_stop,0.8135559799999896,0.45134402000002183,True
V,short,CLP,2025-11-19 19:05:00,2025-11-20 16:30:00,323.49338838,324.31777967103824,337,324.2529290852212,321.3516604740295,-277.8198650798866,-0.9277862960487704,stop_loss,0.9817883800000118,1.0670116200000166,False
V,short,LP1,2025-12-22 17:25:00,2025-12-23 16:30:00,350.93319931999997,351.44435810291105,516,351.3740832862538,349.1412826899526,-263.7579319821182,-0.8793595155847681,stop_loss,0.3489993199999617,2.295600680000007,False
